Date,PM2.5
1/1/2015,146
1/2/2015,127
1/3/2015,197
1/4/2015,113
1/5/2015,152
1/6/2015,31
1/7/2015,149
1/8/2015,177
1/9/2015,22
1/10/2015,183
1/11/2015,25
1/12/2015,71
1/13/2015,128
1/14/2015,30
1/15/2015,138
1/16/2015,56
1/17/2015,82
1/18/2015,120
1/19/2015,159
1/20/2015,122
1/21/2015,107
1/22/2015,180
1/23/2015,178
1/24/2015,56
1/25/2015,42
1/26/2015,0
1/27/2015,28
1/28/2015,90
1/29/2015,195
1/30/2015,162
1/31/2015,69
2/1/2015,116
2/2/2015,172
2/3/2015,125
2/4/2015,49
2/5/2015,24
2/6/2015,161
2/7/2015,172
2/8/2015,14
2/9/2015,74
2/10/2015,13
2/11/2015,55
2/12/2015,50
2/13/2015,134
2/14/2015,138
2/15/2015,197
2/16/2015,168
2/17/2015,187
2/18/2015,60
2/19/2015,128
2/20/2015,194
2/21/2015,183
2/22/2015,150
2/23/2015,72
2/24/2015,65
2/25/2015,154
2/26/2015,177
2/27/2015,42
2/28/2015,183
3/1/2015,171
3/2/2015,91
3/3/2015,25
3/4/2015,182
3/5/2015,12
3/6/2015,94
3/7/2015,186
3/8/2015,92
3/9/2015,4
3/10/2015,63
3/11/2015,51
3/12/2015,139
3/13/2015,74
3/14/2015,49
3/15/2015,60
3/16/2015,100
3/17/2015,71
3/18/2015,76
3/19/2015,195
3/20/2015,95
3/21/2015,41
3/22/2015,0
3/23/2015,5
3/24/2015,131
3/25/2015,70
3/26/2015,107
3/27/2015,1
3/28/2015,143
3/29/2015,178
3/30/2015,63
3/31/2015,173
4/1/2015,105
4/2/2015,74
4/3/2015,76
4/4/2015,139
4/5/2015,47
4/6/2015,187
4/7/2015,77
4/8/2015,58
4/9/2015,50
4/10/2015,172
4/11/2015,55
4/12/2015,3
4/13/2015,95
4/14/2015,177
4/15/2015,53
4/16/2015,43
4/17/2015,41
4/18/2015,166
4/19/2015,32
4/20/2015,38
4/21/2015,31
4/22/2015,102
4/23/2015,167
4/24/2015,49
4/25/2015,163
4/26/2015,33
4/27/2015,112
4/28/2015,185
4/29/2015,178
4/30/2015,195
5/1/2015,117
5/2/2015,60
5/3/2015,170
5/4/2015,58
5/5/2015,96
5/6/2015,74
5/7/2015,10
5/8/2015,50
5/9/2015,196
5/10/2015,0
5/11/2015,180
5/12/2015,115
5/13/2015,93
5/14/2015,58
5/15/2015,198
5/16/2015,46
5/17/2015,45
5/18/2015,21
5/19/2015,187
5/20/2015,170
5/21/2015,136
5/22/2015,13
5/23/2015,8
5/24/2015,105
5/25/2015,17
5/26/2015,132
5/27/2015,104
5/28/2015,5
5/29/2015,106
5/30/2015,97
5/31/2015,63
6/1/2015,186
6/2/2015,92
6/3/2015,162
6/4/2015,50
6/5/2015,114
6/6/2015,137
6/7/2015,154
6/8/2015,101
6/9/2015,140
6/10/2015,8
6/11/2015,61
6/12/2015,109
6/13/2015,20
6/14/2015,120
6/15/2015,81
6/16/2015,149
6/17/2015,45
6/18/2015,30
6/19/2015,21
6/20/2015,193
6/21/2015,180
6/22/2015,20
6/23/2015,105
6/24/2015,183
6/25/2015,136
6/26/2015,108
6/27/2015,54
6/28/2015,194
6/29/2015,127
6/30/2015,98
7/1/2015,45
7/2/2015,146
7/3/2015,198
7/4/2015,55
7/5/2015,43
7/6/2015,120
7/7/2015,168
7/8/2015,154
7/9/2015,35
7/10/2015,37
7/11/2015,173
7/12/2015,29
7/13/2015,77
7/14/2015,53
7/15/2015,67
7/16/2015,159
7/17/2015,131
7/18/2015,57
7/19/2015,162
7/20/2015,40
7/21/2015,73
7/22/2015,190
7/23/2015,7
7/24/2015,182
7/25/2015,101
7/26/2015,39
7/27/2015,67
7/28/2015,163
7/29/2015,44
7/30/2015,1
7/31/2015,88
8/1/2015,25
8/2/2015,47
8/3/2015,14
8/4/2015,106
8/5/2015,191
8/6/2015,98
8/7/2015,140
8/8/2015,160
8/9/2015,174
8/10/2015,164
8/11/2015,17
8/12/2015,87
8/13/2015,128
8/14/2015,49
8/15/2015,7
8/16/2015,23
8/17/2015,82
8/18/2015,81
8/19/2015,92
8/20/2015,30
8/21/2015,17
8/22/2015,31
8/23/2015,179
8/24/2015,75
8/25/2015,63
8/26/2015,171
8/27/2015,53
8/28/2015,14
8/29/2015,3
8/30/2015,161
8/31/2015,154
9/1/2015,172
9/2/2015,182
9/3/2015,75
9/4/2015,25
9/5/2015,43
9/6/2015,168
9/7/2015,77
9/8/2015,73
9/9/2015,88
9/10/2015,144
9/11/2015,176
9/12/2015,87
9/13/2015,193
9/14/2015,83
9/15/2015,90
9/16/2015,125
9/17/2015,145
9/18/2015,121
9/19/2015,77
9/20/2015,53
9/21/2015,78
9/22/2015,80
9/23/2015,158
9/24/2015,115
9/25/2015,147
9/26/2015,90
9/27/2015,151
9/28/2015,69
9/29/2015,49
9/30/2015,150
10/1/2015,165
10/2/2015,52
10/3/2015,108
10/4/2015,58
10/5/2015,169
10/6/2015,72
10/7/2015,155
10/8/2015,197
10/9/2015,190
10/10/2015,109
10/11/2015,183
10/12/2015,0
10/13/2015,186
10/14/2015,140
10/15/2015,157
10/16/2015,77
10/17/2015,95
10/18/2015,191
10/19/2015,54
10/20/2015,192
10/21/2015,135
10/22/2015,4
10/23/2015,82
10/24/2015,165
10/25/2015,122
10/26/2015,92
10/27/2015,101
10/28/2015,119
10/29/2015,78
10/30/2015,153
10/31/2015,179
11/1/2015,157
11/2/2015,85
11/3/2015,165
11/4/2015,165
11/5/2015,101
11/6/2015,108
11/7/2015,102
11/8/2015,58
11/9/2015,59
11/10/2015,149
11/11/2015,137
11/12/2015,147
11/13/2015,39
11/14/2015,120
11/15/2015,163
11/16/2015,43
11/17/2015,154
11/18/2015,26
11/19/2015,0
11/20/2015,193
11/21/2015,11
11/22/2015,11
11/23/2015,137
11/24/2015,99
11/25/2015,5
11/26/2015,146
11/27/2015,81
11/28/2015,4
11/29/2015,50
11/30/2015,11
12/1/2015,75
12/2/2015,121
12/3/2015,6
12/4/2015,126
12/5/2015,42
12/6/2015,137
12/7/2015,21
12/8/2015,143
12/9/2015,58
12/10/2015,11
12/11/2015,57
12/12/2015,149
12/13/2015,143
12/14/2015,119
12/15/2015,13
12/16/2015,146
12/17/2015,116
12/18/2015,80
12/19/2015,182
12/20/2015,169
12/21/2015,139
12/22/2015,153
12/23/2015,59
12/24/2015,21
12/25/2015,67
12/26/2015,139
12/27/2015,97
12/28/2015,44
12/29/2015,130
12/30/2015,21
12/31/2015,108
1/1/2016,154
1/2/2016,177
1/3/2016,117
1/4/2016,175
1/5/2016,123
1/6/2016,120
1/7/2016,141
1/8/2016,54
1/9/2016,126
1/10/2016,36
1/11/2016,122
1/12/2016,5
1/13/2016,116
1/14/2016,130
1/15/2016,68
1/16/2016,69
1/17/2016,192
1/18/2016,54
1/19/2016,73
1/20/2016,85
1/21/2016,125
1/22/2016,121
1/23/2016,103
1/24/2016,197
1/25/2016,87
1/26/2016,123
1/27/2016,101
1/28/2016,189
1/29/2016,166
1/30/2016,59
1/31/2016,62
2/1/2016,59
2/2/2016,41
2/3/2016,105
2/4/2016,186
2/5/2016,102
2/6/2016,181
2/7/2016,163
2/8/2016,82
2/9/2016,112
2/10/2016,92
2/11/2016,22
2/12/2016,147
2/13/2016,82
2/14/2016,167
2/15/2016,80
2/16/2016,59
2/17/2016,26
2/18/2016,186
2/19/2016,124
2/20/2016,32
2/21/2016,79
2/22/2016,41
2/23/2016,106
2/24/2016,55
2/25/2016,45
2/26/2016,118
2/27/2016,138
2/28/2016,184
2/29/2016,185
3/1/2016,194
3/2/2016,117
3/3/2016,143
3/4/2016,119
3/5/2016,53
3/6/2016,68
3/7/2016,167
3/8/2016,192
3/9/2016,26
3/10/2016,177
3/11/2016,104
3/12/2016,186
3/13/2016,104
3/14/2016,147
3/15/2016,187
3/16/2016,131
3/17/2016,99
3/18/2016,38
3/19/2016,127
3/20/2016,67
3/21/2016,8
3/22/2016,49
3/23/2016,85
3/24/2016,0
3/25/2016,21
3/26/2016,99
3/27/2016,170
3/28/2016,78
3/29/2016,187
3/30/2016,36
3/31/2016,65
4/1/2016,158
4/2/2016,3
4/3/2016,71
4/4/2016,12
4/5/2016,139
4/6/2016,75
4/7/2016,187
4/8/2016,56
4/9/2016,75
4/10/2016,80
4/11/2016,60
4/12/2016,91
4/13/2016,57
4/14/2016,138
4/15/2016,181
4/16/2016,175
4/17/2016,89
4/18/2016,153
4/19/2016,156
4/20/2016,32
4/21/2016,74
4/22/2016,74
4/23/2016,6
4/24/2016,159
4/25/2016,80
4/26/2016,165
4/27/2016,9
4/28/2016,40
4/29/2016,194
4/30/2016,65
5/1/2016,174
5/2/2016,65
5/3/2016,88
5/4/2016,116
5/5/2016,121
5/6/2016,137
5/7/2016,136
5/8/2016,120
5/9/2016,52
5/10/2016,61
5/11/2016,5
5/12/2016,108
5/13/2016,75
5/14/2016,53
5/15/2016,114
5/16/2016,26
5/17/2016,132
5/18/2016,59
5/19/2016,18
5/20/2016,54
5/21/2016,12
5/22/2016,125
5/23/2016,26
5/24/2016,112
5/25/2016,162
5/26/2016,143
5/27/2016,84
5/28/2016,150
5/29/2016,57
5/30/2016,165
5/31/2016,138
6/1/2016,84
6/2/2016,79
6/3/2016,155
6/4/2016,87
6/5/2016,88
6/6/2016,3
6/7/2016,193
6/8/2016,4
6/9/2016,121
6/10/2016,143
6/11/2016,122
6/12/2016,49
6/13/2016,126
6/14/2016,11
6/15/2016,108
6/16/2016,18
6/17/2016,16
6/18/2016,60
6/19/2016,191
6/20/2016,75
6/21/2016,187
6/22/2016,106
6/23/2016,86
6/24/2016,11
6/25/2016,32
6/26/2016,59
6/27/2016,85
6/28/2016,18
6/29/2016,21
6/30/2016,99
7/1/2016,130
7/2/2016,15
7/3/2016,45
7/4/2016,124
7/5/2016,147
7/6/2016,75
7/7/2016,65
7/8/2016,111
7/9/2016,48
7/10/2016,176
7/11/2016,100
7/12/2016,64
7/13/2016,180
7/14/2016,155
7/15/2016,32
7/16/2016,183
7/17/2016,55
7/18/2016,122
7/19/2016,81
7/20/2016,96
7/21/2016,183
7/22/2016,185
7/23/2016,105
7/24/2016,151
7/25/2016,52
7/26/2016,176
7/27/2016,120
7/28/2016,122
7/29/2016,85
7/30/2016,89
7/31/2016,89
8/1/2016,47
8/2/2016,123
8/3/2016,183
8/4/2016,107
8/5/2016,94
8/6/2016,5
8/7/2016,22
8/8/2016,165
8/9/2016,144
8/10/2016,180
8/11/2016,138
8/12/2016,104
8/13/2016,47
8/14/2016,161
8/15/2016,15
8/16/2016,103
8/17/2016,174
8/18/2016,185
8/19/2016,83
8/20/2016,152
8/21/2016,8
8/22/2016,169
8/23/2016,188
8/24/2016,86
8/25/2016,153
8/26/2016,28
8/27/2016,63
8/28/2016,133
8/29/2016,51
8/30/2016,163
8/31/2016,33
9/1/2016,179
9/2/2016,52
9/3/2016,67
9/4/2016,119
9/5/2016,124
9/6/2016,112
9/7/2016,1
9/8/2016,70
9/9/2016,62
9/10/2016,19
9/11/2016,189
9/12/2016,28
9/13/2016,38
9/14/2016,87
9/15/2016,72
9/16/2016,90
9/17/2016,46
9/18/2016,60
9/19/2016,34
9/20/2016,109
9/21/2016,4
9/22/2016,67
9/23/2016,165
9/24/2016,17
9/25/2016,22
9/26/2016,8
9/27/2016,160
9/28/2016,50
9/29/2016,110
9/30/2016,6
10/1/2016,158
10/2/2016,85
10/3/2016,169
10/4/2016,194
10/5/2016,32
10/6/2016,200
10/7/2016,94
10/8/2016,127
10/9/2016,169
10/10/2016,92
10/11/2016,130
10/12/2016,120
10/13/2016,45
10/14/2016,186
10/15/2016,149
10/16/2016,149
10/17/2016,175
10/18/2016,135
10/19/2016,86
10/20/2016,137
10/21/2016,38
10/22/2016,55
10/23/2016,155
10/24/2016,103
10/25/2016,82
10/26/2016,135
10/27/2016,182
10/28/2016,77
10/29/2016,173
10/30/2016,45
10/31/2016,2
11/1/2016,18
11/2/2016,62
11/3/2016,48
11/4/2016,87
11/5/2016,81
11/6/2016,41
11/7/2016,141
11/8/2016,180
11/9/2016,146
11/10/2016,45
11/11/2016,117
11/12/2016,53
11/13/2016,80
11/14/2016,9
11/15/2016,102
11/16/2016,81
11/17/2016,84
11/18/2016,73
11/19/2016,169
11/20/2016,195
11/21/2016,124
11/22/2016,4
11/23/2016,196
11/24/2016,86
11/25/2016,71
11/26/2016,174
11/27/2016,152
11/28/2016,154
11/29/2016,172
11/30/2016,33
12/1/2016,52
12/2/2016,47
12/3/2016,74
12/4/2016,112
12/5/2016,21
12/6/2016,28
12/7/2016,86
12/8/2016,157
12/9/2016,89
12/10/2016,128
12/11/2016,41
12/12/2016,95
12/13/2016,82
12/14/2016,187
12/15/2016,135
12/16/2016,193
12/17/2016,37
12/18/2016,124
12/19/2016,169
12/20/2016,167
12/21/2016,192
12/22/2016,0
12/23/2016,18
12/24/2016,137
12/25/2016,199
12/26/2016,181
12/27/2016,27
12/28/2016,59
12/29/2016,99
12/30/2016,84
12/31/2016,19
1/1/2017,132
1/2/2017,36
1/3/2017,47
1/4/2017,116
1/5/2017,139
1/6/2017,159
1/7/2017,64
1/8/2017,109
1/9/2017,144
1/10/2017,99
1/11/2017,34
1/12/2017,178
1/13/2017,8
1/14/2017,137
1/15/2017,59
1/16/2017,70
1/17/2017,172
1/18/2017,2
1/19/2017,187
1/20/2017,135
1/21/2017,177
1/22/2017,172
1/23/2017,179
1/24/2017,2
1/25/2017,44
1/26/2017,33
1/27/2017,112
1/28/2017,57
1/29/2017,26
1/30/2017,97
1/31/2017,167
2/1/2017,189
2/2/2017,34
2/3/2017,75
2/4/2017,116
2/5/2017,25
2/6/2017,77
2/7/2017,60
2/8/2017,168
2/9/2017,93
2/10/2017,38
2/11/2017,107
2/12/2017,143
2/13/2017,115
2/14/2017,69
2/15/2017,71
2/16/2017,162
2/17/2017,19
2/18/2017,99
2/19/2017,64
2/20/2017,9
2/21/2017,110
2/22/2017,1
2/23/2017,94
2/24/2017,192
2/25/2017,170
2/26/2017,101
2/27/2017,200
2/28/2017,86
3/1/2017,82
3/2/2017,13
3/3/2017,45
3/4/2017,176
3/5/2017,197
3/6/2017,29
3/7/2017,136
3/8/2017,119
3/9/2017,21
3/10/2017,63
3/11/2017,161
3/12/2017,113
3/13/2017,138
3/14/2017,118
3/15/2017,175
3/16/2017,128
3/17/2017,189
3/18/2017,65
3/19/2017,67
3/20/2017,95
3/21/2017,200
3/22/2017,40
3/23/2017,154
3/24/2017,86
3/25/2017,139
3/26/2017,138
3/27/2017,47
3/28/2017,67
3/29/2017,107
3/30/2017,95
3/31/2017,63
4/1/2017,18
4/2/2017,83
4/3/2017,118
4/4/2017,112
4/5/2017,154
4/6/2017,104
4/7/2017,189
4/8/2017,43
4/9/2017,123
4/10/2017,182
4/11/2017,112
4/12/2017,61
4/13/2017,71
4/14/2017,30
4/15/2017,31
4/16/2017,200
4/17/2017,75
4/18/2017,88
4/19/2017,109
4/20/2017,82
4/21/2017,109
4/22/2017,54
4/23/2017,109
4/24/2017,49
4/25/2017,1
4/26/2017,13
4/27/2017,168
4/28/2017,140
4/29/2017,113
4/30/2017,147
5/1/2017,36
5/2/2017,59
5/3/2017,89
5/4/2017,108
5/5/2017,50
5/6/2017,33
5/7/2017,123
5/8/2017,199
5/9/2017,111
5/10/2017,60
5/11/2017,108
5/12/2017,165
5/13/2017,183
5/14/2017,184
5/15/2017,90
5/16/2017,192
5/17/2017,130
5/18/2017,170
5/19/2017,23
5/20/2017,1
5/21/2017,73
5/22/2017,105
5/23/2017,32
5/24/2017,175
5/25/2017,84
5/26/2017,143
5/27/2017,24
5/28/2017,41
5/29/2017,13
5/30/2017,6
5/31/2017,121
6/1/2017,197
6/2/2017,36
6/3/2017,122
6/4/2017,37
6/5/2017,156
6/6/2017,38
6/7/2017,93
6/8/2017,100
6/9/2017,99
6/10/2017,77
6/11/2017,152
6/12/2017,33
6/13/2017,19
6/14/2017,25
6/15/2017,90
6/16/2017,152
6/17/2017,62
6/18/2017,141
6/19/2017,15
6/20/2017,190
6/21/2017,0
6/22/2017,189
6/23/2017,81
6/24/2017,93
6/25/2017,99
6/26/2017,80
6/27/2017,121
6/28/2017,157
6/29/2017,198
6/30/2017,171
7/1/2017,195
7/2/2017,179
7/3/2017,185
7/4/2017,140
7/5/2017,184
7/6/2017,34
7/7/2017,18
7/8/2017,111
7/9/2017,127
7/10/2017,7
7/11/2017,95
7/12/2017,88
7/13/2017,79
7/14/2017,194
7/15/2017,112
7/16/2017,65
7/17/2017,62
7/18/2017,56
7/19/2017,34
7/20/2017,141
7/21/2017,144
7/22/2017,123
7/23/2017,127
7/24/2017,30
7/25/2017,192
7/26/2017,156
7/27/2017,38
7/28/2017,166
7/29/2017,89
7/30/2017,76
7/31/2017,149
8/1/2017,128
8/2/2017,160
8/3/2017,74
8/4/2017,118
8/5/2017,182
8/6/2017,114
8/7/2017,167
8/8/2017,21
8/9/2017,30
8/10/2017,165
8/11/2017,58
8/12/2017,160
8/13/2017,186
8/14/2017,157
8/15/2017,78
8/16/2017,17
8/17/2017,62
8/18/2017,73
8/19/2017,120
8/20/2017,78
8/21/2017,133
8/22/2017,170
8/23/2017,58
8/24/2017,192
8/25/2017,159
8/26/2017,196
8/27/2017,34
8/28/2017,166
8/29/2017,24
8/30/2017,83
8/31/2017,129
9/1/2017,77
9/2/2017,92
9/3/2017,54
9/4/2017,107
9/5/2017,40
9/6/2017,61
9/7/2017,74
9/8/2017,139
9/9/2017,185
9/10/2017,14
9/11/2017,93
9/12/2017,41
9/13/2017,128
9/14/2017,109
9/15/2017,35
9/16/2017,150
9/17/2017,44
9/18/2017,51
9/19/2017,155
9/20/2017,129
9/21/2017,117
9/22/2017,37
9/23/2017,86
9/24/2017,67
9/25/2017,134
9/26/2017,67
9/27/2017,176
9/28/2017,118
9/29/2017,121
9/30/2017,148
10/1/2017,186
10/2/2017,121
10/3/2017,10
10/4/2017,84
10/5/2017,119
10/6/2017,13
10/7/2017,2
10/8/2017,125
10/9/2017,84
10/10/2017,124
10/11/2017,72
10/12/2017,190
10/13/2017,60
10/14/2017,190
10/15/2017,59
10/16/2017,20
10/17/2017,143
10/18/2017,139
10/19/2017,13
10/20/2017,190
10/21/2017,71
10/22/2017,146
10/23/2017,145
10/24/2017,68
10/25/2017,198
10/26/2017,200
10/27/2017,84
10/28/2017,42
10/29/2017,199
10/30/2017,158
10/31/2017,109
11/1/2017,175
11/2/2017,21
11/3/2017,84
11/4/2017,168
11/5/2017,98
11/6/2017,37
11/7/2017,16
11/8/2017,49
11/9/2017,9
11/10/2017,92
11/11/2017,106
11/12/2017,117
11/13/2017,134
11/14/2017,38
11/15/2017,112
11/16/2017,103
11/17/2017,63
11/18/2017,197
11/19/2017,63
11/20/2017,45
11/21/2017,135
11/22/2017,90
11/23/2017,11
11/24/2017,2
11/25/2017,19
11/26/2017,144
11/27/2017,33
11/28/2017,18
11/29/2017,52
11/30/2017,58
12/1/2017,136
12/2/2017,128
12/3/2017,137
12/4/2017,66
12/5/2017,115
12/6/2017,11
12/7/2017,164
12/8/2017,70
12/9/2017,111
12/10/2017,111
12/11/2017,144
12/12/2017,44
12/13/2017,171
12/14/2017,121
12/15/2017,161
12/16/2017,4
12/17/2017,20
12/18/2017,132
12/19/2017,150
12/20/2017,116
12/21/2017,167
12/22/2017,70
12/23/2017,155
12/24/2017,53
12/25/2017,125
12/26/2017,163
12/27/2017,68
12/28/2017,198
12/29/2017,170
12/30/2017,139
12/31/2017,120
1/1/2018,137
1/2/2018,4
1/3/2018,103
1/4/2018,2
1/5/2018,172
1/6/2018,180
1/7/2018,82
1/8/2018,81
1/9/2018,167
1/10/2018,195
1/11/2018,47
1/12/2018,185
1/13/2018,121
1/14/2018,54
1/15/2018,29
1/16/2018,3
1/17/2018,184
1/18/2018,113
1/19/2018,20
1/20/2018,161
1/21/2018,73
1/22/2018,105
1/23/2018,142
1/24/2018,130
1/25/2018,98
1/26/2018,23
1/27/2018,112
1/28/2018,9
1/29/2018,16
1/30/2018,125
1/31/2018,75
2/1/2018,153
2/2/2018,195
2/3/2018,17
2/4/2018,88
2/5/2018,104
2/6/2018,62
2/7/2018,120
2/8/2018,163
2/9/2018,91
2/10/2018,104
2/11/2018,49
2/12/2018,178
2/13/2018,102
2/14/2018,182
2/15/2018,123
2/16/2018,28
2/17/2018,88
2/18/2018,94
2/19/2018,70
2/20/2018,89
2/21/2018,181
2/22/2018,45
2/23/2018,63
2/24/2018,161
2/25/2018,48
2/26/2018,147
2/27/2018,23
2/28/2018,35
3/1/2018,102
3/2/2018,174
3/3/2018,177
3/4/2018,42
3/5/2018,62
3/6/2018,24
3/7/2018,155
3/8/2018,57
3/9/2018,100
3/10/2018,56
3/11/2018,189
3/12/2018,64
3/13/2018,95
3/14/2018,145
3/15/2018,28
3/16/2018,64
3/17/2018,145
3/18/2018,36
3/19/2018,69
3/20/2018,61
3/21/2018,181
3/22/2018,66
3/23/2018,142
3/24/2018,189
3/25/2018,172
3/26/2018,14
3/27/2018,142
3/28/2018,133
3/29/2018,35
3/30/2018,196
3/31/2018,158
4/1/2018,61
4/2/2018,179
4/3/2018,45
4/4/2018,22
4/5/2018,59
4/6/2018,108
4/7/2018,97
4/8/2018,99
4/9/2018,186
4/10/2018,90
4/11/2018,144
4/12/2018,19
4/13/2018,64
4/14/2018,16
4/15/2018,136
4/16/2018,84
4/17/2018,79
4/18/2018,125
4/19/2018,194
4/20/2018,99
4/21/2018,11
4/22/2018,23
4/23/2018,44
4/24/2018,152
4/25/2018,188
4/26/2018,32
4/27/2018,85
4/28/2018,6
4/29/2018,73
4/30/2018,61
5/1/2018,68
5/2/2018,161
5/3/2018,87
5/4/2018,52
5/5/2018,72
5/6/2018,109
5/7/2018,105
5/8/2018,108
5/9/2018,86
5/10/2018,167
5/11/2018,23
5/12/2018,176
5/13/2018,38
5/14/2018,15
5/15/2018,173
5/16/2018,79
5/17/2018,158
5/18/2018,55
5/19/2018,81
5/20/2018,143
5/21/2018,29
5/22/2018,181
5/23/2018,81
5/24/2018,112
5/25/2018,104
5/26/2018,32
5/27/2018,37
5/28/2018,68
5/29/2018,17
5/30/2018,51
5/31/2018,128
6/1/2018,146
6/2/2018,92
6/3/2018,153
6/4/2018,20
6/5/2018,100
6/6/2018,119
6/7/2018,154
6/8/2018,167
6/9/2018,17
6/10/2018,74
6/11/2018,13
6/12/2018,197
6/13/2018,159
6/14/2018,175
6/15/2018,186
6/16/2018,152
6/17/2018,122
6/18/2018,132
6/19/2018,68
6/20/2018,52
6/21/2018,79
6/22/2018,192
6/23/2018,6
6/24/2018,156
6/25/2018,195
6/26/2018,38
6/27/2018,172
6/28/2018,21
6/29/2018,103
6/30/2018,152
7/1/2018,110
7/2/2018,101
7/3/2018,23
7/4/2018,173
7/5/2018,53
7/6/2018,117
7/7/2018,112
7/8/2018,87
7/9/2018,27
7/10/2018,149
7/11/2018,140
7/12/2018,7
7/13/2018,141
7/14/2018,102
7/15/2018,177
7/16/2018,82
7/17/2018,22
7/18/2018,135
7/19/2018,3
7/20/2018,43
7/21/2018,179
7/22/2018,24
7/23/2018,84
7/24/2018,199
7/25/2018,118
7/26/2018,173
7/27/2018,51
7/28/2018,57
7/29/2018,24
7/30/2018,101
7/31/2018,158
8/1/2018,94
8/2/2018,126
8/3/2018,184
8/4/2018,5
8/5/2018,53
8/6/2018,117
8/7/2018,75
8/8/2018,7
8/9/2018,98
8/10/2018,31
8/11/2018,83
8/12/2018,158
8/13/2018,101
8/14/2018,88
8/15/2018,153
8/16/2018,33
8/17/2018,24
8/18/2018,74
8/19/2018,98
8/20/2018,101
8/21/2018,118
8/22/2018,126
8/23/2018,169
8/24/2018,98
8/25/2018,197
8/26/2018,131
8/27/2018,189
8/28/2018,87
